LAST SEEN   TYPE      REASON      OBJECT          MESSAGE
53m         Normal    Pulled      pod/v9c-p3-90   Container image "172.31.0.84:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
52m         Normal    Killing     pod/v9c-p3-90   Stopping container predictor
52m         Normal    Scheduled   pod/v9c-p4-0    Successfully assigned bench/v9c-p4-0 to ocibench-control-plane
52m         Normal    Started     pod/v9c-p4-0    Container started
52m         Normal    Pulled      pod/v9c-p4-0    Container image "172.31.0.84:5000/custom-predictor:v5" already present on machine and can be accessed by the pod
52m         Normal    Created     pod/v9c-p4-0    Container created
36m         Normal    Pulled      pod/v9c-p4-0    Container image "172.31.0.84:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
36m         Normal    Killing     pod/v9c-p4-0    Stopping container predictor
36m         Warning   Unhealthy   pod/v9c-p4-0    Readiness probe failed: Get "http://10.244.0.14:8080/healthz": dial tcp 10.244.0.14:8080: connect: connection refused
35m         Normal    Scheduled   pod/v9c-p4-90   Successfully assigned bench/v9c-p4-90 to ocibench-control-plane
35m         Warning   Unhealthy   pod/v9c-p4-90   Readiness probe failed: Get "http://10.244.0.15:8080/healthz": dial tcp 10.244.0.15:8080: connect: connection refused
35m         Normal    Pulled      pod/v9c-p4-90   Container image "172.31.0.84:5000/custom-predictor:v5" already present on machine and can be accessed by the pod
35m         Normal    Created     pod/v9c-p4-90   Container created
35m         Normal    Started     pod/v9c-p4-90   Container started
16m         Normal    Pulled      pod/v9c-p4-90   Container image "172.31.0.84:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
16m         Normal    Killing     pod/v9c-p4-90   Stopping container predictor
16m         Normal    Scheduled   pod/v9c-p5-0    Successfully assigned bench/v9c-p5-0 to ocibench-control-plane
16m         Normal    Pulled      pod/v9c-p5-0    Container image "172.31.0.84:5000/custom-predictor:v5" already present on machine and can be accessed by the pod
16m         Normal    Created     pod/v9c-p5-0    Container created
16m         Normal    Started     pod/v9c-p5-0    Container started
16m         Warning   Unhealthy   pod/v9c-p5-0    Readiness probe failed: Get "http://10.244.0.16:8080/healthz": dial tcp 10.244.0.16:8080: connect: connection refused
29s         Normal    Pulled      pod/v9c-p5-0    Container image "172.31.0.84:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
