ts_epoch,bytes
1789251993.036,2
1789251993.037,0
1789251993.039,22050
1789251993.042,50000
1789251993.052,2
1789251993.052,2
1789251993.054,2
1789251993.054,0
1789251993.054,2
1789251993.055,2
1789251993.055,0
1789251993.055,2
1789251993.056,2
1789251993.056,0
1789251993.056,0
1789251993.057,0
1789251993.057,21759
1789251993.057,22001
1789251993.057,0
1789251993.057,0
1789251993.059,22245
1789251993.060,22269
1789251993.060,50000
1789251993.061,21960
1789251993.061,22034
1789251993.062,22004
1789251993.062,50000
1789251993.063,50000
1789251993.064,50000
1789251993.064,50000
1789251993.065,50000
1789251993.066,50000
1789251993.152,2
1789251993.152,0
1789251993.156,1038
1789251998.204,50000
1789251998.228,2150000
1789251998.230,2150000
1789251998.240,2150000
1789251998.246,2150000
1789251998.250,50000
1789251998.256,2150000
1789251998.257,2150000
1789251998.269,2150000
1789251998.272,2100000
1789251998.288,2150000
1789251998.288,2150000
1789251998.301,2150000
1789251998.304,2150000
1789251998.311,50000
1789251998.313,2100000
1789251998.318,2150000
1789251998.325,2150000
1789251998.331,2150000
1789251998.335,2150000
1789251998.343,2150000
1789251998.346,2150000
1789251998.354,2150000
1789251998.354,2150000
1789251998.363,50000
1789251998.366,2150000
1789251998.366,2050000
1789251998.375,50000
1789251998.377,2100000
1789251998.379,2150000
1789251998.387,50000
1789251998.390,2150000
1789251998.394,2150000
1789251998.400,2150000
1789251998.403,2150000
1789251998.412,2150000
1789251998.415,2150000
1789251998.426,2150000
1789251998.427,2150000
1789251998.437,2150000
1789251998.440,2150000
1789251998.445,2150000
1789251998.447,2150000
1789251998.453,2150000
1789251998.460,2150000
1789251998.464,2150000
1789251998.473,2150000
1789251998.475,2150000
1789251998.484,2150000
1789251998.488,2150000
1789251998.495,2150000
1789251998.499,2150000
1789251998.507,2150000
1789251998.511,2150000
1789251998.518,2150000
1789251998.522,2150000
1789251998.526,2150000
1789251998.529,50000
1789251998.534,2050000
1789251998.535,2150000
1789251998.543,2150000
1789251998.544,2150000
1789251998.552,2150000
1789251998.553,2150000
1789251998.588,2150000
1789251998.881,2050000
1789251998.881,2050000
1789251998.892,2050000
1789251998.893,2150000
1789251998.900,2050000
1789251998.906,2050000
1789251998.911,2050000
1789251998.918,2050000
1789251998.921,2050000
1789251998.928,2050000
1789251998.929,2050000
1789251998.937,2050000
1789251998.938,2100000
1789251998.946,2150000
1789251998.947,2050000
1789251998.954,2050000
1789251998.955,2050000
1789251998.961,2050000
1789251998.961,2050000
1789251998.967,2050000
1789251998.970,2100000
1789251998.975,2050000
1789251998.979,2100000
1789251998.985,2150000
1789251998.986,2050000
