ts_epoch,iso,loop,file,bytes,ms,errno
1789252184.090211,2026-09-12T22:29:44Z,0,ballast-10.bin,536870912,693.609,
1789252184.783940,2026-09-12T22:29:44Z,0,ballast-19.bin,536870912,610.806,
1789252185.395267,2026-09-12T22:29:45Z,0,ballast-14.bin,536870912,630.346,
1789252186.025685,2026-09-12T22:29:46Z,0,ballast-33.bin,536870912,450.858,
1789252186.476616,2026-09-12T22:29:46Z,0,ballast-17.bin,536870912,449.394,
1789252186.926081,2026-09-12T22:29:46Z,0,ballast-34.bin,536870912,451.220,
1789252187.377397,2026-09-12T22:29:47Z,0,ballast-40.bin,536870912,458.272,
1789252187.835738,2026-09-12T22:29:47Z,0,ballast-27.bin,536870912,463.292,
1789252188.299102,2026-09-12T22:29:48Z,0,ballast-13.bin,536870912,451.192,
1789252188.750383,2026-09-12T22:29:48Z,0,ballast-39.bin,536870912,462.122,
1789252189.212579,2026-09-12T22:29:49Z,0,ballast-9.bin,536870912,454.561,
1789252189.667215,2026-09-12T22:29:49Z,0,ballast-11.bin,536870912,446.860,
1789252190.114145,2026-09-12T22:29:50Z,0,ballast-2.bin,536870912,455.129,
1789252190.569384,2026-09-12T22:29:50Z,0,ballast-18.bin,536870912,628.832,
1789252191.198291,2026-09-12T22:29:51Z,0,ballast-22.bin,536870912,623.014,
1789252191.821405,2026-09-12T22:29:51Z,0,ballast-24.bin,536870912,616.457,
1789252192.437943,2026-09-12T22:29:52Z,0,ballast-28.bin,536870912,625.865,
1789252193.063907,2026-09-12T22:29:53Z,0,ballast-4.bin,536870912,2800.678,
1789252195.864656,2026-09-12T22:29:55Z,0,ballast-35.bin,536870912,455.385,
1789252196.320117,2026-09-12T22:29:56Z,0,ballast-36.bin,536870912,448.669,
1789252196.768859,2026-09-12T22:29:56Z,0,ballast-5.bin,536870912,450.892,
1789252197.219826,2026-09-12T22:29:57Z,0,ballast-15.bin,536870912,454.108,
1789252197.674005,2026-09-12T22:29:57Z,0,ballast-25.bin,536870912,455.990,
1789252198.130064,2026-09-12T22:29:58Z,0,ballast-32.bin,536870912,457.890,
1789252198.588022,2026-09-12T22:29:58Z,0,ballast-20.bin,536870912,453.927,
1789252199.042024,2026-09-12T22:29:59Z,0,ballast-21.bin,536870912,448.378,
1789252199.490475,2026-09-12T22:29:59Z,0,ballast-12.bin,536870912,519.305,
1789252200.009857,2026-09-12T22:30:00Z,0,ballast-30.bin,536870912,469.206,
1789252200.479135,2026-09-12T22:30:00Z,0,ballast-26.bin,536870912,456.597,
1789252200.935811,2026-09-12T22:30:00Z,0,ballast-31.bin,536870912,450.664,
1789252201.386549,2026-09-12T22:30:01Z,0,ballast-38.bin,536870912,466.676,
1789252201.853296,2026-09-12T22:30:01Z,0,ballast-16.bin,536870912,451.216,
1789252202.304584,2026-09-12T22:30:02Z,0,ballast-23.bin,536870912,458.364,
1789252202.763019,2026-09-12T22:30:02Z,0,ballast-7.bin,536870912,1940.988,
1789252204.704081,2026-09-12T22:30:04Z,0,ballast-37.bin,536870912,457.874,
1789252205.162033,2026-09-12T22:30:05Z,0,ballast-3.bin,536870912,450.065,
1789252205.612159,2026-09-12T22:30:05Z,0,ballast-6.bin,536870912,586.665,
1789252206.198894,2026-09-12T22:30:06Z,0,ballast-1.bin,536870912,1463.868,
1789252207.662839,2026-09-12T22:30:07Z,0,ballast-8.bin,536870912,808.519,
1789252208.471431,2026-09-12T22:30:08Z,0,ballast-29.bin,536870912,455.086,
1789252208.926622,2026-09-12T22:30:08Z,1,ballast-34.bin,536870912,449.616,
1789252209.376311,2026-09-12T22:30:09Z,1,ballast-12.bin,536870912,464.883,
1789252209.841269,2026-09-12T22:30:09Z,1,ballast-14.bin,536870912,449.021,
1789252210.290381,2026-09-12T22:30:10Z,1,ballast-17.bin,536870912,453.012,
1789252210.743463,2026-09-12T22:30:10Z,1,ballast-10.bin,536870912,851.586,
1789252211.595122,2026-09-12T22:30:11Z,1,ballast-4.bin,536870912,453.327,
1789252212.048517,2026-09-12T22:30:12Z,1,ballast-15.bin,536870912,459.925,
1789252212.508521,2026-09-12T22:30:12Z,1,ballast-8.bin,536870912,463.730,
1789252212.972344,2026-09-12T22:30:12Z,1,ballast-40.bin,536870912,462.385,
1789252213.434801,2026-09-12T22:30:13Z,1,ballast-37.bin,536870912,470.124,
1789252213.904998,2026-09-12T22:30:13Z,1,ballast-9.bin,536870912,460.890,
1789252214.365968,2026-09-12T22:30:14Z,1,ballast-28.bin,536870912,456.000,
1789252214.822047,2026-09-12T22:30:14Z,1,ballast-25.bin,536870912,466.161,
1789252215.288282,2026-09-12T22:30:15Z,1,ballast-21.bin,536870912,456.003,
1789252215.744373,2026-09-12T22:30:15Z,1,ballast-39.bin,536870912,448.007,
1789252216.192456,2026-09-12T22:30:16Z,1,ballast-29.bin,536870912,585.606,
1789252216.778154,2026-09-12T22:30:16Z,1,ballast-7.bin,536870912,600.689,
1789252217.378922,2026-09-12T22:30:17Z,1,ballast-26.bin,536870912,598.284,
1789252217.977286,2026-09-12T22:30:17Z,1,ballast-24.bin,536870912,584.180,
