NAMESPACE   LAST SEEN   TYPE      REASON                   OBJECT                              MESSAGE
bench       41m         Warning   FailedCreatePodSandBox   pod/curl-runner-65d77865d8-s78bq    Failed to create pod sandbox: rpc error: code = Unavailable desc = failed to start sandbox "f521c8c013ebcf3b20d1b995b25662868e963467865e49859ae906115db407d2": failed to create containerd container: connection error: desc = "transport: Error while dialing: dial unix /run/containerd-stargz-grpc/containerd-stargz-grpc.sock: connect: connection refused"
bench       41m         Warning   FailedCreatePodSandBox   pod/curl-runner-65d77865d8-s78bq    Failed to create pod sandbox: rpc error: code = Unavailable desc = failed to start sandbox "fbd9d74265a1d7284745ee8999ea5f375b0618e91bbc5f214b2d6f0d966b415f": failed to create containerd container: connection error: desc = "transport: Error while dialing: dial unix /run/containerd-stargz-grpc/containerd-stargz-grpc.sock: connect: connection refused"
bench       41m         Warning   FailedCreatePodSandBox   pod/curl-runner-65d77865d8-s78bq    Failed to create pod sandbox: rpc error: code = Unavailable desc = failed to start sandbox "a235ab633416a80da7172b3e4f6930a3cadc81d1e5a52c73b9b1ea86cb4b3f81": failed to create containerd container: connection error: desc = "transport: Error while dialing: dial unix /run/containerd-stargz-grpc/containerd-stargz-grpc.sock: connect: connection refused"
bench       41m         Warning   FailedCreatePodSandBox   pod/curl-runner-65d77865d8-s78bq    (combined from similar events): Failed to create pod sandbox: rpc error: code = Unavailable desc = failed to start sandbox "3b969bdd7735835e7ba3ed3f64d26da58c33ecdc50b305faecfdb3a16db1e545": failed to create containerd container: connection error: desc = "transport: Error while dialing: dial unix /run/containerd-stargz-grpc/containerd-stargz-grpc.sock: connect: connection refused"
bench       41m         Normal    Scheduled                pod/curl-runner-65d77865d8-klrd7    Successfully assigned bench/curl-runner-65d77865d8-klrd7 to ocibench-control-plane
bench       41m         Warning   FailedCreatePodSandBox   pod/curl-runner-65d77865d8-klrd7    Failed to create pod sandbox: rpc error: code = Unavailable desc = failed to start sandbox "348eee493e8b24f284aa823201a4292658132e68ed8e3751b59de3b4107aa273": failed to create containerd container: connection error: desc = "transport: Error while dialing: dial unix /run/containerd-stargz-grpc/containerd-stargz-grpc.sock: connect: connection refused"
bench       41m         Normal    SuccessfulCreate         replicaset/curl-runner-65d77865d8   Created pod: curl-runner-65d77865d8-klrd7
bench       41m         Warning   FailedCreatePodSandBox   pod/curl-runner-65d77865d8-klrd7    Failed to create pod sandbox: rpc error: code = Unavailable desc = failed to start sandbox "920265a15795b42adbde4a08fb829e164f5940fefc91332933de2ceb2e5932cf": failed to create containerd container: connection error: desc = "transport: Error while dialing: dial unix /run/containerd-stargz-grpc/containerd-stargz-grpc.sock: connect: connection refused"
bench       40m         Warning   Failed                   pod/curl-runner-65d77865d8-klrd7    Error: failed to create containerd container: error unpacking image: failed to extract layer (application/vnd.docker.image.rootfs.diff.tar.gzip sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6) to stargz as "extract-846861305-exUD sha256:78561cef0761903dd2f7d09856150a6d4fb48967a8f113f3e33d79effbf59a07": failed to get reader from content store: content digest sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6: not found
bench       40m         Warning   Failed                   pod/curl-runner-65d77865d8-klrd7    Error: failed to create containerd container: error unpacking image: failed to extract layer (application/vnd.docker.image.rootfs.diff.tar.gzip sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6) to stargz as "extract-420882442-rCOE sha256:78561cef0761903dd2f7d09856150a6d4fb48967a8f113f3e33d79effbf59a07": failed to get reader from content store: content digest sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6: not found
