ts_epoch,iso,tx_bytes,rx_bytes,loadavg1
1789284902.850806223,2026-09-13T07:35:02.851Z,1333294201594,1846166813,1.31
1789284907.859496164,2026-09-13T07:35:07.860Z,1335184193678,1848164055,1.68
1789284912.868564490,2026-09-13T07:35:12.869Z,1337076962140,1850202586,1.55
1789284917.876879246,2026-09-13T07:35:17.878Z,1338947993715,1852181347,1.42
1789284922.885082115,2026-09-13T07:35:22.886Z,1340759545013,1854036486,1.39
1789284927.893506303,2026-09-13T07:35:27.894Z,1342629247275,1855990828,1.28
1789284932.902318476,2026-09-13T07:35:32.903Z,1344464884773,1857910808,1.34
1789284937.910277693,2026-09-13T07:35:37.911Z,1346333172134,1859820446,1.47
1789284942.918707140,2026-09-13T07:35:42.919Z,1348208157021,1861777135,1.67
1789284947.927832501,2026-09-13T07:35:47.928Z,1350077576282,1863695425,1.54
1789284952.936983148,2026-09-13T07:35:52.938Z,1351961524462,1865628026,1.66
1789284957.945880350,2026-09-13T07:35:57.946Z,1353800029905,1867596114,1.68
1789284962.953788013,2026-09-13T07:36:02.954Z,1355694835360,1869594345,1.55
1789284967.961735722,2026-09-13T07:36:07.962Z,1357540508619,1871554746,1.50
1789284972.969833796,2026-09-13T07:36:12.971Z,1359406496214,1873556285,1.38
1789284977.980210262,2026-09-13T07:36:17.981Z,1361253753557,1875450742,1.59
1789284982.989881340,2026-09-13T07:36:22.991Z,1363100658916,1877442969,1.63
1789284987.998857145,2026-09-13T07:36:28.000Z,1364964462304,1879370751,1.50
1789284993.007243341,2026-09-13T07:36:33.008Z,1366822672818,1881320055,1.54
1789284998.015652190,2026-09-13T07:36:38.016Z,1368693707698,1883244162,2.21
1789285003.023447831,2026-09-13T07:36:43.024Z,1370548927902,1885230977,2.20
1789285008.032785201,2026-09-13T07:36:48.033Z,1372436260682,1887190354,2.26
1789285013.042200061,2026-09-13T07:36:53.043Z,1374279367408,1889156859,2.16
1789285018.051318413,2026-09-13T07:36:58.052Z,1376176132515,1891202917,2.07
1789285023.060324173,2026-09-13T07:37:03.061Z,1378112867970,1893210313,1.90
1789285028.069084749,2026-09-13T07:37:08.070Z,1379999129485,1895259138,1.75
1789285033.078416829,2026-09-13T07:37:13.079Z,1381882179931,1897243182,1.85
1789285038.086638799,2026-09-13T07:37:18.087Z,1383763786412,1899210777,1.70
1789285043.095800752,2026-09-13T07:37:23.096Z,1385607063561,1901138442,1.81
1789285048.104433783,2026-09-13T07:37:28.105Z,1387441518971,1903039144,1.90
1789285053.115388033,2026-09-13T07:37:33.117Z,1389232229890,1904937081,1.75
1789285058.125523511,2026-09-13T07:37:38.126Z,1391089603328,1906870967,1.77
1789285063.135513147,2026-09-13T07:37:43.136Z,1392990557780,1908924666,1.71
1789285068.144128171,2026-09-13T07:37:48.145Z,1394553004787,1910520469,1.57
1789285073.152943531,2026-09-13T07:37:53.154Z,1396265601417,1912340803,1.44
1789285078.161946524,2026-09-13T07:37:58.163Z,1398156571697,1914302607,1.33
1789285083.171685993,2026-09-13T07:38:03.172Z,1399999818376,1916206447,1.30
1789285088.180102492,2026-09-13T07:38:08.181Z,1401840190158,1918107590,1.36
1789285093.189782105,2026-09-13T07:38:13.191Z,1403667867994,1919989247,1.97
1789285098.199833461,2026-09-13T07:38:18.200Z,1405401851485,1921789756,2.05
1789285103.208276722,2026-09-13T07:38:23.209Z,1407239754043,1923684899,2.05
1789285108.217064234,2026-09-13T07:38:28.218Z,1409137883261,1925703396,2.04
1789285113.226096759,2026-09-13T07:38:33.227Z,1411010389944,1927607341,1.88
1789285118.235033072,2026-09-13T07:38:38.236Z,1412892118953,1929522729,1.89
1789285123.245691685,2026-09-13T07:38:43.246Z,1414713279958,1931405914,1.74
1789285128.254989805,2026-09-13T07:38:48.256Z,1416519354440,1933262757,1.68
1789285133.264614196,2026-09-13T07:38:53.265Z,1418350199538,1935230719,1.54
1789285138.273301110,2026-09-13T07:38:58.274Z,1420190605726,1937194544,1.58
1789285143.282749046,2026-09-13T07:39:03.283Z,1421995131225,1939110665,2.10
1789285148.292417361,2026-09-13T07:39:08.294Z,1423884222327,1941132290,2.33
1789285153.301747285,2026-09-13T07:39:13.302Z,1425711290071,1943057813,2.30
1789285158.310976561,2026-09-13T07:39:18.312Z,1427521474743,1945020029,2.20
1789285163.321218045,2026-09-13T07:39:23.322Z,1429331950975,1946859452,2.02
1789285168.332183120,2026-09-13T07:39:28.333Z,1431199067631,1948778576,1.86
1789285173.342255122,2026-09-13T07:39:33.343Z,1433049349570,1950682880,1.79
1789285178.352255015,2026-09-13T07:39:38.353Z,1434883002816,1952585569,1.65
1789285183.362543009,2026-09-13T07:39:43.363Z,1436751319366,1954491001,1.51
1789285188.372110315,2026-09-13T07:39:48.373Z,1438610554548,1956422073,1.47
1789285193.381814321,2026-09-13T07:39:53.382Z,1440457320840,1958357410,1.43
1789285198.390588599,2026-09-13T07:39:58.391Z,1442295580375,1960257153,1.32
1789285203.399605344,2026-09-13T07:40:03.400Z,1444129436189,1962214660,1.37
1789285208.408258899,2026-09-13T07:40:08.409Z,1445950262753,1964105946,1.34
1789285213.417106336,2026-09-13T07:40:13.418Z,1447790136733,1966057549,1.32
1789285218.426785915,2026-09-13T07:40:18.427Z,1449615206954,1967949100,1.37
1789285223.436718114,2026-09-13T07:40:23.437Z,1451450788699,1969809009,1.26
1789285228.446306469,2026-09-13T07:40:28.447Z,1453285751941,1971703862,1.16
1789285233.455311792,2026-09-13T07:40:33.456Z,1455121860647,1973615641,1.23
1789285238.465013445,2026-09-13T07:40:38.466Z,1456956503012,1975556750,1.21
1789285243.474365332,2026-09-13T07:40:43.475Z,1458801494632,1977501138,1.35
1789285248.483642476,2026-09-13T07:40:48.484Z,1460621496847,1979440590,1.32
1789285253.492665962,2026-09-13T07:40:53.493Z,1462431341697,1981297846,1.46
1789285258.501531719,2026-09-13T07:40:58.502Z,1464265174141,1983185920,1.42
1789285263.510991336,2026-09-13T07:41:03.512Z,1466113758752,1985113035,1.39
1789285268.519593086,2026-09-13T07:41:08.520Z,1467980081893,1987036763,1.60
1789285273.528022591,2026-09-13T07:41:13.529Z,1469776162653,1988919656,1.55
1789285278.538125418,2026-09-13T07:41:18.539Z,1471526624315,1990778313,1.42
1789285283.547739046,2026-09-13T07:41:23.548Z,1473366081914,1992678274,1.47
1789285288.556682945,2026-09-13T07:41:28.557Z,1475231478749,1994619807,1.43
1789285293.565113883,2026-09-13T07:41:33.566Z,1477042224991,1996523201,1.32
1789285298.574800799,2026-09-13T07:41:38.575Z,1478877651989,1998416685,1.29
1789285303.584341534,2026-09-13T07:41:43.585Z,1480750670464,2000427266,1.19
1789285308.593914771,2026-09-13T07:41:48.595Z,1482627644678,2002429981,1.33
1789285313.603142870,2026-09-13T07:41:53.604Z,1484473329639,2004404041,1.47
1789285318.612389889,2026-09-13T07:41:58.613Z,1486318823470,2006310744,1.35
1789285323.621977847,2026-09-13T07:42:03.622Z,1488146948409,2008209581,1.32
1789285328.631246930,2026-09-13T07:42:08.632Z,1489989038293,2010148976,1.38
1789285333.640684832,2026-09-13T07:42:13.641Z,1491812605783,2012091631,1.27
1789285338.650052590,2026-09-13T07:42:18.651Z,1493619693583,2013948615,1.41
1789285343.659515472,2026-09-13T07:42:23.660Z,1495470128033,2015901594,1.45
1789285348.668782085,2026-09-13T07:42:28.670Z,1497280286719,2017799736,1.34
1789285353.678431444,2026-09-13T07:42:33.679Z,1499134155415,2019804895,1.31
1789285358.687902141,2026-09-13T07:42:38.689Z,1500975486474,2021751932,1.44
