ts_epoch,iso,tx_bytes,rx_bytes,loadavg1
1789280348.934865916,2026-09-13T06:19:08.935Z,380834457639,837363573,0.14
1789280353.942732712,2026-09-13T06:19:13.943Z,383058572961,839510515,0.20
1789280358.951763740,2026-09-13T06:19:18.952Z,384573686473,840919917,0.27
1789280363.965440324,2026-09-13T06:19:23.966Z,385606131625,841865790,0.25
1789280368.973506435,2026-09-13T06:19:28.974Z,386159956558,842439149,0.23
1789280373.981979060,2026-09-13T06:19:33.983Z,386805506106,843079158,0.21
1789280378.990045127,2026-09-13T06:19:38.991Z,387433747785,843717958,0.19
1789280383.998293131,2026-09-13T06:19:43.999Z,388052054925,844348789,0.18
1789280389.006557493,2026-09-13T06:19:49.007Z,388662639747,844974657,0.24
1789280394.014553614,2026-09-13T06:19:54.015Z,389291358639,845605731,0.22
1789280399.022575888,2026-09-13T06:19:59.023Z,389901716167,846244654,0.20
1789280404.030884542,2026-09-13T06:20:04.032Z,390520183303,846890853,0.19
1789280409.039321741,2026-09-13T06:20:09.040Z,391137205501,847542618,0.17
1789280414.048262854,2026-09-13T06:20:14.049Z,391743259109,848149860,0.16
1789280419.056755340,2026-09-13T06:20:19.057Z,392360219670,848779575,0.15
1789280424.064696866,2026-09-13T06:20:24.065Z,392977189116,849374109,0.29
1789280429.073870164,2026-09-13T06:20:29.074Z,393585430380,849986212,0.27
1789280434.082069407,2026-09-13T06:20:34.083Z,394200313314,850634044,0.25
1789280439.090091669,2026-09-13T06:20:39.091Z,394820293852,851294189,0.31
1789280444.098375505,2026-09-13T06:20:44.099Z,395427936149,851924462,0.28
1789280449.106484605,2026-09-13T06:20:49.107Z,396047142618,852573082,0.34
1789280454.114706960,2026-09-13T06:20:54.115Z,396664107759,853222340,0.47
1789280459.122918242,2026-09-13T06:20:59.124Z,397286067919,853871153,0.52
1789280464.131146797,2026-09-13T06:21:04.132Z,397909681117,854536978,0.48
1789280469.139440784,2026-09-13T06:21:09.140Z,398526693854,855174061,0.44
1789280474.147529085,2026-09-13T06:21:14.148Z,399117386394,855790453,0.48
