LAST SEEN   TYPE      REASON                   OBJECT                              MESSAGE
49m         Warning   Failed                   pod/curl-runner-65d77865d8-cxq8g    Error: failed to create containerd container: error unpacking image: failed to extract layer (application/vnd.docker.image.rootfs.diff.tar.gzip sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6) to stargz as "extract-735427776-t6ch sha256:78561cef0761903dd2f7d09856150a6d4fb48967a8f113f3e33d79effbf59a07": failed to get reader from content store: content digest sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6: not found
49m         Warning   Failed                   pod/curl-runner-65d77865d8-cxq8g    Error: failed to create containerd container: error unpacking image: failed to extract layer (application/vnd.docker.image.rootfs.diff.tar.gzip sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6) to stargz as "extract-734837251-OF7R sha256:78561cef0761903dd2f7d09856150a6d4fb48967a8f113f3e33d79effbf59a07": failed to get reader from content store: content digest sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6: not found
49m         Warning   Failed                   pod/curl-runner-65d77865d8-cxq8g    Error: failed to create containerd container: error unpacking image: failed to extract layer (application/vnd.docker.image.rootfs.diff.tar.gzip sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6) to stargz as "extract-735184328-0iMc sha256:78561cef0761903dd2f7d09856150a6d4fb48967a8f113f3e33d79effbf59a07": failed to get reader from content store: content digest sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6: not found
31m         Normal    Pulled                   pod/v9b-k1-node1                    Container image "172.31.0.84:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
30m         Normal    Killing                  pod/v9b-k1-node1                    Stopping container predictor
20m         Normal    Created                  pod/v9b-k1-node1                    Container created
20m         Normal    Scheduled                pod/v9b-k1-node1                    Successfully assigned bench/v9b-k1-node1 to ocibench-control-plane
20m         Normal    Started                  pod/v9b-k1-node1                    Container started
20m         Normal    Pulled                   pod/v9b-k1-node1                    Container image "172.31.0.84:5000/custom-predictor:v5" already present on machine and can be accessed by the pod
20m         Warning   Unhealthy                pod/v9b-k1-node1                    Readiness probe failed: Get "http://10.244.0.31:8080/healthz": dial tcp 10.244.0.31:8080: connect: connection refused
68s         Normal    Pulled                   pod/v9b-k1-node1                    Container image "172.31.0.84:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
55s         Warning   Failed                   pod/curl-runner-65d77865d8-cxq8g    (combined from similar events): Error: failed to create containerd container: error unpacking image: failed to extract layer (application/vnd.docker.image.rootfs.diff.tar.gzip sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6) to stargz as "extract-734863856-b6GJ sha256:78561cef0761903dd2f7d09856150a6d4fb48967a8f113f3e33d79effbf59a07": failed to get reader from content store: content digest sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6: not found
28s         Normal    Pulled                   pod/curl-runner-65d77865d8-cxq8g    Container image "curlimages/curl:8.9.1" already present on machine and can be accessed by the pod
