ts_epoch,iso,loop,file,bytes,ms,errno
1789254259.764249,2026-09-12T23:04:19Z,0,ballast-10.bin,536870912,476.244,
1789254260.240581,2026-09-12T23:04:20Z,0,ballast-19.bin,536870912,459.323,
1789254260.699973,2026-09-12T23:04:20Z,0,ballast-14.bin,536870912,459.723,
1789254261.159766,2026-09-12T23:04:21Z,0,ballast-33.bin,536870912,465.803,
1789254261.625640,2026-09-12T23:04:21Z,0,ballast-17.bin,536870912,457.114,
1789254262.082831,2026-09-12T23:04:22Z,0,ballast-34.bin,536870912,480.533,
1789254262.563435,2026-09-12T23:04:22Z,0,ballast-40.bin,536870912,459.316,
1789254263.022820,2026-09-12T23:04:23Z,0,ballast-27.bin,536870912,556.598,
1789254263.579499,2026-09-12T23:04:23Z,0,ballast-13.bin,536870912,602.602,
1789254264.182169,2026-09-12T23:04:24Z,0,ballast-39.bin,536870912,614.044,
1789254264.796287,2026-09-12T23:04:24Z,0,ballast-9.bin,536870912,599.344,
1789254265.395729,2026-09-12T23:04:25Z,0,ballast-11.bin,536870912,561.959,
1789254265.957759,2026-09-12T23:04:25Z,0,ballast-2.bin,536870912,615.692,
1789254266.573558,2026-09-12T23:04:26Z,0,ballast-18.bin,536870912,590.246,
1789254267.163888,2026-09-12T23:04:27Z,0,ballast-22.bin,536870912,640.757,
1789254267.804722,2026-09-12T23:04:27Z,0,ballast-24.bin,536870912,450.244,
1789254268.255043,2026-09-12T23:04:28Z,0,ballast-28.bin,536870912,452.358,
1789254268.707482,2026-09-12T23:04:28Z,0,ballast-4.bin,536870912,454.072,
1789254269.161623,2026-09-12T23:04:29Z,0,ballast-35.bin,536870912,611.632,
1789254269.773361,2026-09-12T23:04:29Z,0,ballast-36.bin,536870912,1098.230,
1789254270.871663,2026-09-12T23:04:30Z,0,ballast-5.bin,536870912,456.336,
1789254271.328078,2026-09-12T23:04:31Z,0,ballast-15.bin,536870912,988.078,
1789254272.316228,2026-09-12T23:04:32Z,0,ballast-25.bin,536870912,447.928,
1789254272.764224,2026-09-12T23:04:32Z,0,ballast-32.bin,536870912,443.454,
1789254273.207746,2026-09-12T23:04:33Z,0,ballast-20.bin,536870912,477.453,
1789254273.685269,2026-09-12T23:04:33Z,0,ballast-21.bin,536870912,1041.212,
1789254274.726558,2026-09-12T23:04:34Z,0,ballast-12.bin,536870912,888.124,
1789254275.614757,2026-09-12T23:04:35Z,0,ballast-30.bin,536870912,470.435,
