ts_epoch,bytes
1789254014.975,2
1789254014.976,0
1789254014.978,22050
1789254014.981,50000
1789254014.991,2
1789254014.991,2
1789254014.994,2
1789254014.994,2
1789254014.994,2
1789254014.994,2
1789254014.995,2
1789254014.995,0
1789254014.995,0
1789254014.995,0
1789254014.995,0
1789254014.995,0
1789254014.996,0
1789254014.996,0
1789254014.997,22245
1789254014.997,22034
1789254014.999,21960
1789254014.999,22269
1789254014.999,21759
1789254014.999,22001
1789254015.001,22004
1789254015.001,50000
1789254015.002,50000
1789254015.004,50000
1789254015.005,50000
1789254015.005,50000
1789254015.005,50000
1789254015.005,50000
1789254015.074,2
1789254015.075,0
1789254015.077,1038
1789254020.163,50000
1789254020.170,2050000
1789254020.173,2150000
1789254020.184,2150000
1789254020.188,2150000
1789254020.196,50000
1789254020.197,2150000
1789254020.202,2150000
1789254020.207,2150000
1789254020.214,2150000
1789254020.217,2150000
1789254020.224,2150000
1789254020.229,2150000
1789254020.231,2150000
1789254020.237,2150000
1789254020.240,2150000
1789254020.248,50000
1789254020.250,2150000
1789254020.255,2150000
1789254020.261,2150000
1789254020.268,2150000
1789254020.272,2100000
1789254020.278,50000
1789254020.281,2100000
1789254020.286,2150000
1789254020.294,2150000
1789254020.301,2150000
1789254020.306,2150000
1789254020.313,2150000
1789254020.316,2150000
1789254020.325,2150000
1789254020.327,2150000
1789254020.334,50000
1789254020.340,2150000
1789254020.346,2150000
1789254020.352,2150000
1789254020.358,2150000
1789254020.358,50000
1789254020.366,2150000
1789254020.366,2050000
1789254020.376,2150000
1789254020.377,2150000
1789254020.385,50000
1789254020.389,2150000
1789254020.393,2150000
1789254020.394,2050000
1789254020.406,2150000
1789254020.407,2150000
1789254020.420,2150000
1789254020.424,2150000
1789254020.431,2150000
1789254020.435,2150000
1789254020.446,2150000
1789254020.447,2150000
1789254020.459,2150000
1789254020.459,2150000
1789254020.467,50000
1789254020.470,2050000
1789254020.477,2150000
1789254020.478,2150000
1789254020.487,2150000
1789254020.489,2150000
1789254020.495,2150000
1789254020.504,2150000
1789254020.798,2150000
1789254020.819,2050000
1789254020.829,2050000
1789254020.865,2050000
1789254020.870,2100000
1789254020.876,2150000
1789254020.877,2000000
1789254020.883,2050000
1789254020.886,2050000
1789254020.892,2050000
1789254020.894,2050000
1789254020.902,2050000
1789254020.903,2050000
1789254020.910,2050000
1789254020.913,2050000
1789254020.916,2050000
1789254020.925,2100000
1789254020.927,2150000
1789254020.933,2050000
1789254020.938,2050000
1789254020.941,2050000
1789254020.947,2050000
1789254020.953,2100000
1789254020.954,2150000
1789254020.961,2050000
1789254020.965,2050000
1789254020.969,2050000
1789254020.971,2050000
1789254020.977,2050000
1789254020.980,2050000
1789254020.986,2100000
1789254020.988,2150000
1789254020.994,2100000
1789254020.997,2100000
1789254021.002,2000000
1789254021.006,2050000
1789254021.012,2100000
1789254021.012,2050000
1789254021.019,2050000
1789254021.020,2050000
1789254021.027,2050000
1789254021.030,2050000
1789254021.036,2050000
1789254021.037,2100000
1789254021.044,2050000
1789254021.044,2050000
