NAMESPACE            LAST SEEN   TYPE      REASON                  OBJECT                                         MESSAGE
local-path-storage   16m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-8kkz7    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-8kkz7 to ocibench-control-plane
local-path-storage   16m         Normal    SuccessfulCreate        replicaset/local-path-provisioner-855c7b7774   Created pod: local-path-provisioner-855c7b7774-c7dtb
local-path-storage   16m         Normal    Killing                 pod/local-path-provisioner-855c7b7774-vm5dq    Stopping container local-path-provisioner
local-path-storage   16m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-vm5dq    The node was low on resource: ephemeral-storage. Threshold quantity: 9782837803, available: 0. Container local-path-provisioner was using 4Ki, request is 0, has larger consumption of ephemeral-storage.
local-path-storage   16m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-rtgdz    The node had condition: [DiskPressure].
local-path-storage   16m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-rtgdz    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-rtgdz to ocibench-control-plane
local-path-storage   16m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-c7dtb    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-c7dtb to ocibench-control-plane
local-path-storage   16m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-c7dtb    The node had condition: [DiskPressure].
local-path-storage   16m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-rsxmx    The node had condition: [DiskPressure].
local-path-storage   16m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-rsxmx    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-rsxmx to ocibench-control-plane
local-path-storage   16m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-r99dt    The node had condition: [DiskPressure].
local-path-storage   16m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-ffgjs    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-ffgjs to ocibench-control-plane
local-path-storage   16m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-ffgjs    The node had condition: [DiskPressure].
local-path-storage   16m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-r99dt    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-r99dt to ocibench-control-plane
local-path-storage   16m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-nx57r    The node had condition: [DiskPressure].
local-path-storage   16m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-nx57r    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-nx57r to ocibench-control-plane
local-path-storage   16m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-gw8mr    The node had condition: [DiskPressure].
local-path-storage   15m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-tscgc    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-tscgc to ocibench-control-plane
local-path-storage   15m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-d2vqb    The node had condition: [DiskPressure].
local-path-storage   15m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-znfgb    The node had condition: [DiskPressure].
local-path-storage   15m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-znfgb    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-znfgb to ocibench-control-plane
local-path-storage   15m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-tscgc    The node had condition: [DiskPressure].
local-path-storage   15m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-8zmz7    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-8zmz7 to ocibench-control-plane
local-path-storage   15m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-jhdnq    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-jhdnq to ocibench-control-plane
local-path-storage   15m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-jhdnq    The node had condition: [DiskPressure].
local-path-storage   15m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-8zmz7    The node had condition: [DiskPressure].
local-path-storage   15m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-d2vqb    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-d2vqb to ocibench-control-plane
local-path-storage   15m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-nzmld    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-nzmld to ocibench-control-plane
local-path-storage   15m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-nzmld    The node had condition: [DiskPressure].
local-path-storage   15m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-fjs8j    The node had condition: [DiskPressure].
local-path-storage   15m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-8tc97    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-8tc97 to ocibench-control-plane
local-path-storage   15m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-fjs8j    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-fjs8j to ocibench-control-plane
local-path-storage   15m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-pgxq4    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-pgxq4 to ocibench-control-plane
local-path-storage   15m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-gsrx7    The node had condition: [DiskPressure].
default              15m         Normal    NodeHasDiskPressure     node/ocibench-control-plane                    Node ocibench-control-plane status is now: NodeHasDiskPressure
local-path-storage   15m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-fwtmm    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-fwtmm to ocibench-control-plane
local-path-storage   15m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-hhc86    The node had condition: [DiskPressure].
local-path-storage   15m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-8gbxs    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-8gbxs to ocibench-control-plane
local-path-storage   15m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-hhc86    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-hhc86 to ocibench-control-plane
local-path-storage   15m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-8tc97    The node had condition: [DiskPressure].
local-path-storage   15m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-pgxq4    The node had condition: [DiskPressure].
local-path-storage   15m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-fwtmm    The node had condition: [DiskPressure].
local-path-storage   15m         Normal    Scheduled               pod/local-path-provisioner-855c7b7774-gsrx7    Successfully assigned local-path-storage/local-path-provisioner-855c7b7774-gsrx7 to ocibench-control-plane
local-path-storage   15m         Warning   Evicted                 pod/local-path-provisioner-855c7b7774-8gbxs    The node had condition: [DiskPressure].
local-path-storage   15m         Normal    SuccessfulCreate        replicaset/local-path-provisioner-855c7b7774   (combined from similar events): Created pod: local-path-provisioner-855c7b7774-cmzw4
bench                15m         Warning   Evicted                 pod/curl-runner-65d77865d8-csnh6               The node was low on resource: ephemeral-storage. Threshold quantity: 9782837803, available: 0.
bench                15m         Normal    Killing                 pod/curl-runner-65d77865d8-csnh6               Stopping container curl
bench                15m         Normal    SuccessfulCreate        replicaset/curl-runner-65d77865d8              Created pod: curl-runner-65d77865d8-4dxnq
default              13m         Warning   FreeDiskSpaceFailed     node/ocibench-control-plane                    Insufficient free disk space on the node's image filesystem (100% of 91.1 GiB used). Failed to free sufficient space by deleting unused images (freed 0 bytes). Investigate disk usage, as it could be used by active images, logs, volumes, or other data.
bench                2m19s       Warning   FailedScheduling        pod/s4b-probe                                  0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
default              53s         Warning   EvictionThresholdMet    node/ocibench-control-plane                    Attempting to reclaim ephemeral-storage
local-path-storage   49s         Warning   FailedScheduling        pod/local-path-provisioner-855c7b7774-cmzw4    0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
bench                19s         Warning   FailedScheduling        pod/curl-runner-65d77865d8-4dxnq               0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
