LAST SEEN   TYPE      REASON             OBJECT                              MESSAGE
5m4s        Normal    Killing            pod/curl-runner-65d77865d8-qc75r    Stopping container curl
5m2s        Normal    SuccessfulCreate   replicaset/curl-runner-65d77865d8   Created pod: curl-runner-65d77865d8-sxftl
5m2s        Normal    Scheduled          pod/curl-runner-65d77865d8-lc7qb    Successfully assigned bench/curl-runner-65d77865d8-lc7qb to ocibench-control-plane
5m2s        Normal    Scheduled          pod/curl-runner-65d77865d8-qzbvs    Successfully assigned bench/curl-runner-65d77865d8-qzbvs to ocibench-control-plane
5m2s        Warning   Evicted            pod/curl-runner-65d77865d8-qzbvs    The node had condition: [DiskPressure].
5m2s        Normal    Scheduled          pod/curl-runner-65d77865d8-r24rl    Successfully assigned bench/curl-runner-65d77865d8-r24rl to ocibench-control-plane
5m2s        Warning   Evicted            pod/curl-runner-65d77865d8-r24rl    The node had condition: [DiskPressure].
5m2s        Normal    Scheduled          pod/curl-runner-65d77865d8-r69jw    Successfully assigned bench/curl-runner-65d77865d8-r69jw to ocibench-control-plane
5m2s        Warning   Evicted            pod/curl-runner-65d77865d8-r69jw    The node had condition: [DiskPressure].
5m2s        Normal    Scheduled          pod/curl-runner-65d77865d8-fh44p    Successfully assigned bench/curl-runner-65d77865d8-fh44p to ocibench-control-plane
5m2s        Warning   Evicted            pod/curl-runner-65d77865d8-fh44p    The node had condition: [DiskPressure].
5m2s        Warning   Evicted            pod/curl-runner-65d77865d8-nlc4d    The node had condition: [DiskPressure].
5m2s        Normal    Scheduled          pod/curl-runner-65d77865d8-nlc4d    Successfully assigned bench/curl-runner-65d77865d8-nlc4d to ocibench-control-plane
5m2s        Warning   Evicted            pod/curl-runner-65d77865d8-5fh4c    The node had condition: [DiskPressure].
5m2s        Normal    Scheduled          pod/curl-runner-65d77865d8-5fh4c    Successfully assigned bench/curl-runner-65d77865d8-5fh4c to ocibench-control-plane
5m2s        Normal    Scheduled          pod/curl-runner-65d77865d8-5jx5x    Successfully assigned bench/curl-runner-65d77865d8-5jx5x to ocibench-control-plane
5m2s        Warning   Evicted            pod/curl-runner-65d77865d8-5jx5x    The node had condition: [DiskPressure].
5m2s        Normal    Scheduled          pod/curl-runner-65d77865d8-sxftl    Successfully assigned bench/curl-runner-65d77865d8-sxftl to ocibench-control-plane
5m2s        Warning   Evicted            pod/curl-runner-65d77865d8-sxftl    The node had condition: [DiskPressure].
5m2s        Normal    SuccessfulCreate   replicaset/curl-runner-65d77865d8   Created pod: curl-runner-65d77865d8-fh44p
5m2s        Normal    SuccessfulCreate   replicaset/curl-runner-65d77865d8   Created pod: curl-runner-65d77865d8-5fh4c
5m2s        Normal    SuccessfulCreate   replicaset/curl-runner-65d77865d8   Created pod: curl-runner-65d77865d8-lc7qb
5m2s        Normal    SuccessfulCreate   replicaset/curl-runner-65d77865d8   Created pod: curl-runner-65d77865d8-r24rl
5m2s        Normal    SuccessfulCreate   replicaset/curl-runner-65d77865d8   Created pod: curl-runner-65d77865d8-r69jw
5m2s        Normal    SuccessfulCreate   replicaset/curl-runner-65d77865d8   Created pod: curl-runner-65d77865d8-nlc4d
5m2s        Normal    SuccessfulCreate   replicaset/curl-runner-65d77865d8   Created pod: curl-runner-65d77865d8-qzbvs
5m2s        Warning   Evicted            pod/curl-runner-65d77865d8-lc7qb    The node had condition: [DiskPressure].
5m2s        Normal    SuccessfulCreate   replicaset/curl-runner-65d77865d8   Created pod: curl-runner-65d77865d8-5jx5x
5m1s        Warning   Evicted            pod/curl-runner-65d77865d8-pwdz5    The node had condition: [DiskPressure].
5m1s        Normal    Scheduled          pod/curl-runner-65d77865d8-6jsg6    Successfully assigned bench/curl-runner-65d77865d8-6jsg6 to ocibench-control-plane
5m1s        Warning   Evicted            pod/curl-runner-65d77865d8-bspf8    The node had condition: [DiskPressure].
5m1s        Normal    Scheduled          pod/curl-runner-65d77865d8-m7qpf    Successfully assigned bench/curl-runner-65d77865d8-m7qpf to ocibench-control-plane
5m1s        Warning   Evicted            pod/curl-runner-65d77865d8-m7qpf    The node had condition: [DiskPressure].
