ts_epoch,iso,tx_bytes,rx_bytes,loadavg1
1789278931.037968327,2026-09-13T05:55:31.039Z,218017998369,661393966,10.15
1789278936.062765617,2026-09-13T05:55:36.064Z,219564423345,662987065,10.06
1789278941.078922275,2026-09-13T05:55:41.080Z,220892559309,664294431,9.65
1789278946.089469655,2026-09-13T05:55:46.090Z,222247622340,665593882,9.44
1789278951.099531034,2026-09-13T05:55:51.100Z,223044095486,666418076,8.85
1789278956.109181760,2026-09-13T05:55:56.110Z,223650088770,667075878,8.70
1789278961.118872268,2026-09-13T05:56:01.120Z,224146317878,667589993,8.40
1789278966.128195333,2026-09-13T05:56:06.129Z,224739229464,668210681,8.05
1789278971.138104317,2026-09-13T05:56:11.139Z,225305699510,668814925,7.72
1789278976.147961573,2026-09-13T05:56:16.149Z,225801923584,669356986,7.75
1789278981.158683439,2026-09-13T05:56:21.159Z,226375035122,669989107,7.45
1789278986.168665760,2026-09-13T05:56:26.170Z,226917884894,670567459,7.25
1789278991.178589588,2026-09-13T05:56:31.179Z,227438634284,671140387,6.91
1789278996.189127893,2026-09-13T05:56:36.190Z,228020479398,671770779,6.60
1789279001.198778479,2026-09-13T05:56:41.200Z,228539259280,672332063,6.31
1789279006.208511710,2026-09-13T05:56:46.209Z,229104597317,672941320,6.68
1789279011.218866734,2026-09-13T05:56:51.220Z,229683224553,673570971,6.39
1789279016.229277654,2026-09-13T05:56:56.230Z,230199220453,674093704,6.20
1789279021.239138412,2026-09-13T05:57:01.240Z,230779065362,674704975,5.94
1789279026.249200857,2026-09-13T05:57:06.250Z,231306077675,675244657,6.27
1789279031.258679135,2026-09-13T05:57:11.259Z,231819846023,675767707,6.16
1789279036.268610057,2026-09-13T05:57:16.269Z,232342813869,676322253,5.91
1789279041.278259351,2026-09-13T05:57:21.279Z,232853256081,676837152,6.08
1789279046.289756417,2026-09-13T05:57:26.290Z,233440674197,677478338,5.91
1789279051.299357266,2026-09-13T05:57:31.300Z,233997829435,678031376,5.76
1789279056.309771199,2026-09-13T05:57:36.311Z,234538544321,678589115,5.62
1789279061.320084462,2026-09-13T05:57:41.321Z,235096267747,679153409,5.49
1789279066.330308662,2026-09-13T05:57:46.331Z,235601302718,679669958,5.21
1789279071.340063828,2026-09-13T05:57:51.341Z,236172204194,680266476,5.11
