restart_n,df_used_bytes,df_pct,httpcache_bytes,fscache_bytes,httpcache_dirs,fscache_dirs,grpc_pid,fm_pid,mount_ok,read_ok,read_err,errnos
0,10014240768,11,4790507809,4743981052,10,10,3802,3825,yes,8,0,none
1,23530000384,26,9246357809,9261246460,10,10,4198,3825,yes,8,0,none
2,41756676096,45,17852157809,17876346876,10,10,4308,3825,yes,8,0,none
3,59942166528,65,26169457809,26206234620,10,10,4418,3825,yes,8,0,none
4,77764714496,84,34638757809,34779391996,10,10,4524,3825,yes,8,0,none
