LAST SEEN   TYPE      REASON      OBJECT          MESSAGE
56m         Normal    Scheduled   pod/probe140    Successfully assigned bench/probe140 to ocibench-control-plane
56m         Normal    Pulling     pod/probe140    Pulling image "172.31.0.84:5000/model-ballast:estargz-140g"
56m         Warning   Unhealthy   pod/probe140    Readiness probe failed: Get "http://10.244.0.7:8080/healthz": dial tcp 10.244.0.7:8080: connect: connection refused
56m         Normal    Pulled      pod/probe140    Container image "172.31.0.84:5000/custom-predictor:v5" already present on machine and can be accessed by the pod
56m         Normal    Created     pod/probe140    Container created
56m         Normal    Started     pod/probe140    Container started
56m         Normal    Pulled      pod/probe140    Successfully pulled image "172.31.0.84:5000/model-ballast:estargz-140g" in 104ms (104ms including waiting). Image size: 150374665466 bytes.
56m         Normal    Pulled      pod/probe140    Container image "172.31.0.84:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
56m         Normal    Killing     pod/probe140    Stopping container predictor
52m         Normal    Scheduled   pod/v9c-p1-0    Successfully assigned bench/v9c-p1-0 to ocibench-control-plane
52m         Normal    Pulled      pod/v9c-p1-0    Container image "172.31.0.84:5000/custom-predictor:v5" already present on machine and can be accessed by the pod
52m         Normal    Created     pod/v9c-p1-0    Container created
52m         Normal    Started     pod/v9c-p1-0    Container started
37m         Normal    Pulled      pod/v9c-p1-0    Container image "172.31.0.84:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
36m         Normal    Killing     pod/v9c-p1-0    Stopping container predictor
36m         Warning   Unhealthy   pod/v9c-p1-0    Readiness probe failed: Get "http://10.244.0.8:8080/healthz": dial tcp 10.244.0.8:8080: connect: connection refused
35m         Normal    Scheduled   pod/v9c-p1-90   Successfully assigned bench/v9c-p1-90 to ocibench-control-plane
35m         Normal    Pulled      pod/v9c-p1-90   Container image "172.31.0.84:5000/custom-predictor:v5" already present on machine and can be accessed by the pod
35m         Normal    Created     pod/v9c-p1-90   Container created
35m         Normal    Started     pod/v9c-p1-90   Container started
35m         Warning   Unhealthy   pod/v9c-p1-90   Readiness probe failed: Get "http://10.244.0.9:8080/healthz": dial tcp 10.244.0.9:8080: connect: connection refused
16m         Normal    Pulled      pod/v9c-p1-90   Container image "172.31.0.84:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
16m         Normal    Killing     pod/v9c-p1-90   Stopping container predictor
16m         Normal    Scheduled   pod/v9c-p2-0    Successfully assigned bench/v9c-p2-0 to ocibench-control-plane
16m         Normal    Pulled      pod/v9c-p2-0    Container image "172.31.0.84:5000/custom-predictor:v5" already present on machine and can be accessed by the pod
16m         Normal    Created     pod/v9c-p2-0    Container created
16m         Normal    Started     pod/v9c-p2-0    Container started
16m         Warning   Unhealthy   pod/v9c-p2-0    Readiness probe failed: Get "http://10.244.0.10:8080/healthz": dial tcp 10.244.0.10:8080: connect: connection refused
4s          Normal    Pulled      pod/v9c-p2-0    Container image "172.31.0.84:5000/model-ballast:estargz-140g" already present on machine and can be accessed by the pod
